date,usdx_close
2022-08-02,105.26929075598719
2022-08-03,105.1386336439848
2022-08-04,105.04265749096872
2022-08-05,104.91194986045362
2022-08-06,104.82336023569108
2022-08-07,104.7700776386261
2022-08-08,104.72827537357809
2022-08-09,104.64867623984814
2022-08-10,104.57355521142483
2022-08-11,104.50229704499246
2022-08-12,104.45247135758402
2022-08-13,104.38426775693894
2022-08-14,104.38190240800382
2022-08-15,104.39129343867303
2022-08-16,104.37947751939298
2022-08-17,104.29615264534951
2022-08-18,104.30764560699464
2022-08-19,104.36143699765206
2022-08-20,104.43766762912274
2022-08-21,104.39768583476544
2022-08-22,104.39788790881634
2022-08-23,104.44710196137429
2022-08-24,104.50203362703324
2022-08-25,104.50888249397279
2022-08-26,104.56257284760476
2022-08-27,104.51408770501615
2022-08-28,104.49561055898667
2022-08-29,104.47126965701581
2022-08-30,104.4143407058716
2022-08-31,104.29104125440122
2022-09-01,104.26038373410702
2022-09-02,104.13725027203562
2022-09-03,104.07373948037626
2022-09-04,103.99334828853608
2022-09-05,103.92334045529367
2022-09-06,103.74932222127916
2022-09-07,103.62748239398003
2022-09-08,103.49027230918408
2022-09-09,103.35626293301583
2022-09-10,103.19447559177877
2022-09-11,103.11270957469941
2022-09-12,103.00659183025361
2022-09-13,102.92066525280477
2022-09-14,102.80829042971135
2022-09-15,102.72058668315411
2022-09-16,102.62325374722482
2022-09-17,102.5558313792944
2022-09-18,102.48182717084886
2022-09-19,102.4463794130087
2022-09-20,102.38068369567395
2022-09-21,102.37093542695047
2022-09-22,102.32454860687257
2022-09-23,102.28293217778207
2022-09-24,102.19237233102322
2022-09-25,102.20549631893635
2022-09-26,102.14938107669354
2022-09-27,102.09980798184873
2022-09-28,102.09756351649762
2022-09-29,102.09262894034387
2022-09-30,101.96906787514688
2022-10-01,101.9357418948412
2022-10-02,101.86758520424367
2022-10-03,101.78231356322766
2022-10-04,101.70244920730592
2022-10-05,101.72409458577634
2022-10-06,101.6850203204155
2022-10-07,101.64326676964761
2022-10-08,101.62486720561982
2022-10-09,101.62171881973744
2022-10-10,101.57930672407151
2022-10-11,101.55644709706307
2022-10-12,101.50504811882973
2022-10-13,101.47340729176999
2022-10-14,101.46868381083013
2022-10-15,101.49585014104844
2022-10-16,101.46357963681221
2022-10-17,101.48935851216318
2022-10-18,101.45751561105253
2022-10-19,101.43209758222105
2022-10-20,101.42839710116387
2022-10-21,101.42147786915304
2022-10-22,101.4309049844742
2022-10-23,101.39915409922601
2022-10-24,101.38625022768976
2022-10-25,101.45887419819833
2022-10-26,101.47377174675465
2022-10-27,101.49087948024274
2022-10-28,101.52024336576463
2022-10-29,101.55401859998705
2022-10-30,101.56281964659692
2022-10-31,101.60834584772587
2022-11-01,101.62032956063749
2022-11-02,101.63685452699663
2022-11-03,101.68362745285035
2022-11-04,101.66349762976171
2022-11-05,101.67005781948568
2022-11-06,101.69678030848505
2022-11-07,101.66449537038804
2022-11-08,101.63366283953191
2022-11-09,101.62445764482023
2022-11-10,101.59117316186429
2022-11-11,101.54889638364315
2022-11-12,101.50503188073635
2022-11-13,101.49134677648546
2022-11-14,101.44790626823904
2022-11-15,101.34613311588765
2022-11-16,101.25210192561151
2022-11-17,101.19649908542634
2022-11-18,101.12795989751817
2022-11-19,101.01830224871637
2022-11-20,100.9402836227417
2022-11-21,100.89040200412275
2022-11-22,100.85156409323217
2022-11-23,100.76074263274671
2022-11-24,100.68103704929352
2022-11-25,100.62392045795919
2022-11-26,100.57245472311975
2022-11-27,100.552665899992
2022-11-28,100.51205803692342
2022-11-29,100.46096216976643
2022-11-30,100.42558838546277
2022-12-01,100.40186092257501
2022-12-02,100.40621092736723
2022-12-03,100.36620748221875
2022-12-04,100.31956265687944
2022-12-05,100.27707297921182
2022-12-06,100.23407811641694
2022-12-07,100.21527260005475
2022-12-08,100.19140621125699
2022-12-09,100.15142261266709
2022-12-10,100.10275524258614
2022-12-11,100.06789566457273
2022-12-12,100.03768198549749
2022-12-13,100.04105770468713
2022-12-14,100.00884313166142
2022-12-15,99.96294525861741
2022-12-16,99.94856372058392
2022-12-17,99.94318169474603
2022-12-18,99.93555159509182
2022-12-19,99.94247984826566
2022-12-20,99.93773471653462
2022-12-21,99.93228052139283
2022-12-22,99.93617405533791
2022-12-23,99.96263312637807
2022-12-24,99.98344675362111
2022-12-25,99.99944127559662
2022-12-26,99.99217743515969
2022-12-27,100.01593737423421
2022-12-28,100.0250740081072
2022-12-29,100.04197064638139
